latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,amenities_count,amenity_wifi,amenity_air_conditioning,amenity_kitchen,amenity_washer,amenity_dryer,amenity_heating,amenity_tv,review_score_total,host_reliability,distance_from_center,room_type_Private room,property_type_Entire cottage,property_type_Entire guest suite,property_type_Entire guesthouse,property_type_Entire home,property_type_Entire loft,property_type_Entire place,property_type_Entire rental unit,property_type_Entire serviced apartment,property_type_Entire townhouse,property_type_Entire vacation home,property_type_Private room in bed and breakfast,property_type_Private room in condo,property_type_Private room in guest suite,property_type_Private room in guesthouse,property_type_Private room in home,property_type_Private room in rental unit,property_type_Private room in townhouse,property_type_Private room in villa,property_type_Room in aparthotel,property_type_Room in hotel,has_availability_encoded,instant_bookable_encoded
42.65701241,-73.78116252,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.4663911703985699,1,365,1,1,365,365,1.0,365.0,-1.146851489616963,-0.2960195226423798,-0.029948964255470528,0.8623701797684058,-0.3861494122852402,0.09954555627255039,0.6499227407777264,277,9,0.23474518501289635,-0.15512174849500326,-0.17642815115729762,4.72,4.94,4.78,4.83,4.78,4.78,3,3,0,0,1.7498722589136566,-0.3823576745683073,1,1,1,1,1,1,1,1.6353042800425006e-05,-0.0950230959926546,-0.1264037886193293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.66043,-73.77432,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,0.6985744964533709,1,365,1,1,365,365,1.0,365.0,-0.5530177106247881,-0.5292270246869155,-0.6221005062185576,0.560191202610284,-0.5362031190639702,-0.6368961599248124,-0.5802881614086842,241,2,-0.8691212672473778,-0.6684931861777026,-0.8413662497412411,5.0,5.0,5.0,5.0,4.0,5.0,12,1,11,0,-0.8478751986445351,-1.0365935664850239,1,1,1,0,1,0,1,0.11788908554786481,-0.10274242568652055,0.29034701300169563,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
42.65867,-73.77479,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,0.6985744964533709,1,365,1,1,365,365,1.0,365.0,-0.3833509166270239,-0.2493780222334727,-0.4247166588975286,0.593766644516742,-0.5362031190639702,-0.7289513744494828,-0.5802881614086842,245,0,-1.007104573779912,-0.8506572447102734,0.6698567015859048,5.0,5.0,5.0,5.0,5.0,5.0,12,1,11,0,-0.9666910906742237,-1.429135101635054,1,1,1,0,1,0,1,0.8112581002835609,-0.10383914326950235,0.09737950100727208,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
42.67908,-73.79505,0.6195987806946543,-0.32067899095280256,0.3400528832457217,0.39375496019334716,0.22032543321941625,2,21,2,2,21,21,2.0,21.0,-1.0620180926180809,-1.6019815340917796,-1.8064035901447317,-1.7145449865522444,-0.3580143422642283,0.09954555627255039,0.6499227407777264,29,19,0.23474518501289635,0.4013066484772128,0.5187344064531908,4.95,5.0,4.95,4.71,4.9,5.0,1,1,0,0,-0.16198345829133268,0.4027253957317527,1,1,1,1,1,1,1,0.47150728306306905,-0.004805545526245822,2.1582011014625895,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.64478,-73.7764,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,-0.6748587107826014,28,90,15,15,90,90,15.0,90.0,-1.4861850776124916,-1.8818305365452224,-2.069582053239437,-1.739726567982088,-0.5455814757376409,-0.6829237671871475,-0.5802881614086842,26,1,-0.3631824766280855,-0.5775951610109451,0.6698567015859048,5.0,5.0,5.0,5.0,5.0,5.0,2,2,0,0,-0.923485311754337,-1.8871002259767558,1,1,1,0,0,0,1,0.8112581002835609,-0.0977259582236223,-1.4104277209590657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
42.65868,-73.77333,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,1.6550726229212804,1,365,1,1,365,365,1.0,365.0,0.7194832443584438,0.5435274847179485,0.5950998855944547,0.8959456216748638,-0.5549598324113115,-0.7289513744494828,-0.5802881614086842,281,0,-1.007104573779912,-0.8506572447102734,0.24671427521430495,4.905,4.88,4.94,4.96,4.81,4.83,12,1,11,0,-0.2970015174159788,-0.8403227989100089,1,1,1,0,1,0,1,0.3432340153369676,-0.10383914326950235,0.10898619413800101,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
42.65847,-73.77272,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,0.6495233104806576,1,365,1,1,365,365,1.0,365.0,0.38014965636291526,0.3103199826734129,0.43061334616026387,0.8623701797684058,-0.5080680490429583,-0.544840945400142,-0.5802881614086842,277,4,-0.7311379607148436,-0.49516132442246863,-1.748100020537528,4.2,4.6,4.2,4.0,4.2,3.4,12,1,11,0,-0.8640773657394927,-1.1020171556766956,1,1,1,0,1,0,1,-2.932934579289193,-0.10188002165242507,0.09078540793739343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
42.6684126,-73.7684199,1.0262704262279878,1.2512041554516857,0.3400528832457217,1.3110742081163098,-0.06171888612368521,1,360,1,1,1125,1125,1.0,1125.0,0.889150038356208,0.8233764871713913,0.8253810408023219,1.0722166916837683,-0.21733899215916888,-0.03853726551445514,-0.5802881614086842,301,16,0.027770225214094942,0.002201756601307834,-0.8413662497412411,4.53,4.61,4.69,4.86,3.97,4.42,1,1,0,0,-0.26459718322606385,0.07560744977339437,1,1,1,1,1,1,1,-1.2133794227446706,-0.09699980640878023,1.193062877720032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
42.65893,-73.77448,-0.6004161559053461,-0.32067899095280256,-0.5391082295359002,-0.5235642877296154,0.8825164438510458,1,365,1,1,365,365,1.0,365.0,0.38014965636291526,0.40360298349122714,0.3319214224997493,0.8539763192917914,-0.5549598324113115,-0.7289513744494828,-0.5802881614086842,276,0,-1.007104573779912,-0.8506572447102734,0.24671427521430495,4.905,4.88,4.94,4.96,4.81,4.83,12,1,11,0,-0.2970015174159788,-1.1020171556766956,1,1,1,0,1,0,1,0.3432340153369676,-0.10383914326950235,0.1276166749263975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
42.64592834,-73.79876141,0.21292713516132086,-0.32067899095280256,0.3400528832457217,0.39375496019334716,0.5759465315215876,13,365,13,13,1125,1125,13.0,1125.0,-1.4861850776124916,-1.8818305365452224,-2.069582053239437,-0.7072817293585049,-0.5549598324113115,-0.7289513744494828,-0.5802881614086842,90,0,-1.007104573779912,-0.8506572447102734,0.24671427521430495,4.905,4.88,4.94,4.96,4.81,4.83,6,6,0,0,-0.2970015174159788,-1.8871002259767558,1,1,1,1,0,0,1,0.3432340153369676,-0.10383914326950235,-1.4396902770683686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
